suite,term,model_id,capability_id,capability_level,task_count,task_equal_mase_degradation,task_bootstrap_95_ci_lower,task_bootstrap_95_ci_upper,task_median_mase_degradation,positive_task_fraction,paired_view_count
gift,long,Chronos-2,covariate_impulse_response,4,3,-0.0025208696260145577,-0.003931511460013581,-0.0007222590092996432,-0.0029088384087304483,0.0,112
gift,long,Chronos-2,covariate_impulse_response,5,3,-0.03166957460066951,-0.08006977472210106,-0.002056506272758914,-0.012882442807148564,0.0,112
gift,long,Chronos-2,cross_series_dependence,1,6,-0.012174484106316814,-0.07098926845156253,0.0466403002389289,-0.013660658648955132,0.5,25
gift,long,Chronos-2,cross_series_dependence,2,6,-0.014561796568391254,-0.08027256980251189,0.05114897666572938,-0.015314191470215482,0.5,25
gift,long,Chronos-2,cross_series_dependence,3,6,-0.006696646264891072,-0.08549753737443899,0.08085697750978434,-0.014593747768636006,0.3333333333333333,25
gift,long,Chronos-2,cross_series_dependence,4,6,-0.001734039746069745,-0.10492325455657303,0.10406976072146057,-0.013909221881147515,0.3333333333333333,25
gift,long,Chronos-2,cross_series_dependence,5,6,0.00719969051704708,-0.12988459874450844,0.14140616026060904,-0.014415301185672025,0.3333333333333333,25
gift,long,Timer-4.0,common_factor,1,4,0.042286677749869495,-0.13882302530538917,0.2433358540942703,0.022347204460727344,0.75,9
gift,long,Timer-4.0,common_factor,2,4,0.0796976054351202,-0.09897768386467118,0.3045025510757239,0.033567949094307874,0.5,9
gift,long,Timer-4.0,common_factor,3,4,0.10393692389857556,-0.0646006605349072,0.3241438218963133,0.03709492124000763,0.5,9
gift,long,Timer-4.0,common_factor,4,4,0.10265078910047762,-0.05332802580253661,0.26129629408952626,0.051173484870328814,0.5,9
gift,long,Timer-4.0,common_factor,5,4,0.07160929013223527,-0.05068414898252682,0.19390272924699736,0.06656974090933254,0.5,9
gift,long,Timer-4.0,covariate_impulse_response,1,3,-0.10826303854492257,-0.3248732306697376,0.00010405084289880443,-1.9935807928916915e-05,0.3333333333333333,112
gift,long,Timer-4.0,covariate_impulse_response,2,3,0.0472812906595701,-6.7287475882342e-05,0.10228054008018946,0.03963061937440315,0.6666666666666666,112
gift,long,Timer-4.0,covariate_impulse_response,3,3,-0.04857262668513084,-0.1676842818097902,0.02261359893899062,-0.0006471971845929409,0.3333333333333333,112
gift,long,Timer-4.0,covariate_impulse_response,4,3,-0.0025148961629073625,-0.025555339981189407,0.017751838710955425,0.00025881278151189434,0.6666666666666666,112
gift,long,Timer-4.0,covariate_impulse_response,5,3,0.0869231961108463,0.002336775907678722,0.2224943365481552,0.035938475876704956,1.0,112
gift,long,Timer-4.0,cross_series_dependence,1,6,-0.01626629671346988,-0.19859838705850005,0.13321135075948132,-0.001449247966894681,0.5,25
gift,long,Timer-4.0,cross_series_dependence,2,6,0.005816947617013267,-0.1557186384391441,0.15482001667005507,0.007947017443911946,0.6666666666666666,25
gift,long,Timer-4.0,cross_series_dependence,3,6,0.0378069384994451,-0.11557829293845923,0.20046810001871118,0.0039196740305319135,0.5,25
gift,long,Timer-4.0,cross_series_dependence,4,6,0.11740601180976988,-0.017896927258392113,0.2889908681030056,0.01620386846924989,0.6666666666666666,25
gift,long,Timer-4.0,cross_series_dependence,5,6,0.11047837363229074,-0.088239551845046,0.31651616072534056,0.04619857826610395,0.8333333333333334,25
gift,long,toto2.0,common_factor,1,4,-0.015743762293674045,-0.03256824472446182,-0.001879717044759338,-0.01278332511180097,0.25,9
gift,long,toto2.0,common_factor,2,4,-0.014894458822113942,-0.032918520400528485,0.00031889927754349956,-0.012083755343356836,0.25,9
gift,long,toto2.0,common_factor,3,4,-0.014213041053433885,-0.03548176441260684,0.004627520939492452,-0.011784879687187277,0.25,9
gift,long,toto2.0,common_factor,4,4,-0.00807315590209558,-0.02532445743093593,0.012618975088560441,-0.011513985363911256,0.25,9
gift,long,toto2.0,common_factor,5,4,-0.008085338145073544,-0.019030326849325045,0.007460694010043012,-0.0126863815959386,0.25,9
gift,long,toto2.0,cross_series_dependence,1,6,0.2562326381380094,-0.04087287269181251,0.8197961682121901,-0.006532957290988545,0.5,25
gift,long,toto2.0,cross_series_dependence,2,6,0.257401240695086,-0.034693554787670555,0.8165439803785253,-0.008055985794563356,0.5,25
gift,long,toto2.0,cross_series_dependence,3,6,0.25492894801824223,-0.02683261583592093,0.7984581345120018,-0.008273727464339187,0.5,25
gift,long,toto2.0,cross_series_dependence,4,6,0.14756895974245163,-0.025801979908530146,0.47353606863880415,-0.004459000597776264,0.5,25
gift,long,toto2.0,cross_series_dependence,5,6,0.0613646399697391,-0.04851114562418368,0.241344866749158,-0.0028554130701061537,0.5,25
gift,medium,Chronos-2,common_factor,1,4,-0.017247455007038497,-0.07905888356293414,0.0398955994702919,-0.012579080928473249,0.5,11
gift,medium,Chronos-2,common_factor,2,4,-0.014040583713688735,-0.08420996698003948,0.04978324842210478,-0.007695032583131506,0.5,11
gift,medium,Chronos-2,common_factor,3,4,-0.008269898599185838,-0.08723319740199753,0.05594375244536747,0.006479749159072554,0.75,11
gift,medium,Chronos-2,common_factor,4,4,-0.0017390917805498105,-0.07785455243573522,0.05269400903286735,0.02261072761682066,0.75,11
gift,medium,Chronos-2,common_factor,5,4,0.00851461069287697,-0.07710309853168118,0.07509817159086835,0.030843169176662508,0.75,11
gift,medium,Chronos-2,covariate_impulse_response,1,4,0.03382604212881163,0.00019934231037549942,0.0924554383167055,0.006622609126297918,0.75,165
gift,medium,Chronos-2,covariate_impulse_response,2,4,0.03200319007021732,-0.0006234822927518105,0.08786107261942769,0.005689099528701724,0.5,165
gift,medium,Chronos-2,covariate_impulse_response,3,4,-4.007745687822391e-05,-0.005308650526994953,0.007637257420816668,-0.0024488392644563873,0.25,165
gift,medium,Chronos-2,covariate_impulse_response,4,4,-9.416458116876374e-05,-0.009233047198898225,0.011695330351186825,-0.0040143978335740295,0.25,165
gift,medium,Chronos-2,covariate_impulse_response,5,4,-0.012175637756556676,-0.02606889728320888,-0.002507052930527575,-0.007950963055933569,0.0,165
gift,medium,Chronos-2,cross_series_dependence,1,6,0.008287374241085258,-0.0304512139967269,0.03870825248367752,0.020150052418212272,0.6666666666666666,42
gift,medium,Chronos-2,cross_series_dependence,2,6,0.0034262981992239303,-0.03720138962349607,0.03302219999548831,0.018434453783059856,0.6666666666666666,42
gift,medium,Chronos-2,cross_series_dependence,3,6,0.003962680688950525,-0.04834738942741947,0.044745132294923294,0.008491337423579715,0.6666666666666666,42
gift,medium,Chronos-2,cross_series_dependence,4,6,0.003928709811308981,-0.0599679014620807,0.061550106329396524,0.0030725685106247624,0.6666666666666666,42
gift,medium,Chronos-2,cross_series_dependence,5,6,0.00750263189809174,-0.07103467202818163,0.08097364585289143,0.005899651494769453,0.6666666666666666,42
gift,medium,Timer-4.0,common_factor,1,4,-0.015292405833744263,-0.06299161383964774,0.04725604872727951,-0.030141652388864557,0.25,11
gift,medium,Timer-4.0,common_factor,2,4,-0.011084851306316576,-0.08649328764174875,0.06409685160926246,-0.010858117886463431,0.5,11
gift,medium,Timer-4.0,common_factor,3,4,-0.003462135695203719,-0.07482146489261518,0.061473592341554806,0.0030748755294606606,0.5,11
gift,medium,Timer-4.0,common_factor,4,4,0.008933585438692847,-0.05109787136666544,0.06896504224405113,0.018370693990835102,0.5,11
gift,medium,Timer-4.0,common_factor,5,4,0.03303084555165427,-0.029391755028495947,0.09545344613180448,0.018043838359830283,0.5,11
gift,medium,Timer-4.0,covariate_impulse_response,1,4,0.061681135661939564,0.0027934531128275893,0.17161692550769417,0.010633028365296948,0.75,165
gift,medium,Timer-4.0,covariate_impulse_response,2,4,0.05426710628281852,-0.0021974874740898565,0.15979926601087951,0.0037233313296668657,0.5,165
gift,medium,Timer-4.0,covariate_impulse_response,3,4,-0.13066745629966045,-0.39970671425803883,0.006708651606525381,0.0009956937525321384,0.5,165
gift,medium,Timer-4.0,covariate_impulse_response,4,4,-0.1496447386970822,-0.4254510176264454,0.004070097905569742,-0.019830238595695836,0.25,165
gift,medium,Timer-4.0,covariate_impulse_response,5,4,0.12269484880976854,-0.06861483899504986,0.4323115719843085,0.004387813440046979,0.5,165
gift,medium,Timer-4.0,cross_series_dependence,1,6,0.1530500079939813,-0.040752522507513246,0.4077675846655679,0.003191799855302796,0.5,42
gift,medium,Timer-4.0,cross_series_dependence,2,6,0.09808916097820802,-0.0346166308938091,0.2539316527664313,-0.008200511036814517,0.5,42
gift,medium,Timer-4.0,cross_series_dependence,3,6,0.090264974262604,-0.03602668553716478,0.22597629952649143,-0.016257656740143067,0.3333333333333333,42
gift,medium,Timer-4.0,cross_series_dependence,4,6,0.09320527429206353,-0.04731655079462263,0.258797917777927,-0.01475375755103786,0.5,42
gift,medium,Timer-4.0,cross_series_dependence,5,6,0.052573178467474994,-0.052520512802290836,0.16268075540824822,0.012741289558952637,0.5,42
gift,medium,toto2.0,common_factor,1,4,-0.02532911907091974,-0.09694027244118227,0.03634056469331057,-0.01538764946488752,0.5,11
gift,medium,toto2.0,common_factor,2,4,-0.02493320650479089,-0.10038469799661513,0.03804909863850155,-0.012464020156259081,0.5,11
