suite,term,dataset_id,model_id,capability_id,capability_level,paired_view_count,mase_degradation_mean,mase_degradation_median,positive_degradation_fraction,full_input_mase_mean,ablated_input_mase_mean,response_ratio_mean
gift,long,gift_ett1_h,Chronos-2,common_factor,3,3,0.016097420020585746,0.006485166849731883,0.6666666666666666,2.056402280920991,2.072499700941577,0.3044306535866127
gift,long,gift_ett1_h,Chronos-2,common_factor,4,3,0.0245650494097794,-0.00022302435882415317,0.3333333333333333,2.0729291145239945,2.097494163933774,0.21047169682917902
gift,long,gift_ett1_h,Chronos-2,common_factor,5,3,0.03253840427119107,-0.0268450271476246,0.3333333333333333,2.1009402047472943,2.133478609018485,0.15754429064675893
gift,long,gift_ett1_h,Chronos-2,cross_series_dependence,1,3,0.09211877298560789,0.10773324107251225,0.6666666666666666,1.42384317731233,1.515961950297938,1.6362677175907778
gift,long,gift_ett1_h,Chronos-2,cross_series_dependence,2,3,0.11486537878220315,0.11935685740230495,0.6666666666666666,1.54141592788179,1.6562813066639934,1.1605365024535805
gift,long,gift_ett1_h,Chronos-2,cross_series_dependence,3,3,0.17902254924867744,0.12978936147341713,1.0,1.7962542129333876,1.975276762182065,0.7084244642131757
gift,long,gift_ett1_h,Chronos-2,cross_series_dependence,4,3,0.21652473839764816,0.15324783082031024,1.0,2.1004333929740135,2.3169581313716616,0.5760621152544675
gift,long,gift_ett1_h,Chronos-2,cross_series_dependence,5,3,0.2846098748940528,0.2066339436938529,1.0,2.817897303616283,3.1025071785103364,0.40021421909144056
gift,long,gift_ett1_h,Timer-4.0,common_factor,1,3,-0.19906330307118,-0.15136143886371412,0.0,1.9585547170371909,1.7594914139660112,0.9658205711743083
gift,long,gift_ett1_h,Timer-4.0,common_factor,2,3,-0.15703868002967067,-0.11186014861615612,0.0,1.918995686544176,1.7619570065145052,0.7224644334618068
gift,long,gift_ett1_h,Timer-4.0,common_factor,3,3,-0.10027576232805169,-0.05473675063035088,0.3333333333333333,1.8744575405827562,1.7741817782547047,0.4571977676054322
gift,long,gift_ett1_h,Timer-4.0,common_factor,4,3,-0.05676816699485491,-0.0839052308188677,0.3333333333333333,1.9165893916283203,1.8598212246334658,0.20500352598604424
gift,long,gift_ett1_h,Timer-4.0,common_factor,5,3,-0.046323182830235954,-0.11117078163852834,0.3333333333333333,1.9591996382108172,1.912876455380581,0.13365595787439732
gift,long,gift_ett1_h,Timer-4.0,cross_series_dependence,1,3,-0.006927416098312304,-0.02023443178357187,0.3333333333333333,1.4177967549301738,1.4108693388318618,1.030119164033618
gift,long,gift_ett1_h,Timer-4.0,cross_series_dependence,2,3,0.010278479612179389,-0.004644956066765182,0.3333333333333333,1.4878314250337528,1.498109904645932,0.7209225756454076
gift,long,gift_ett1_h,Timer-4.0,cross_series_dependence,3,3,-0.00568475368673312,0.012745354996466451,0.6666666666666666,1.774509958360951,1.7688252046742179,0.43439720946183796
gift,long,gift_ett1_h,Timer-4.0,cross_series_dependence,4,3,0.009036183864519135,0.024528773973917728,0.6666666666666666,2.07518675292992,2.0842229367944394,0.3514691794943628
gift,long,gift_ett1_h,Timer-4.0,cross_series_dependence,5,3,0.021181591618458933,0.011963731098061148,0.6666666666666666,2.810249663441182,2.831431255059641,0.2513805368534218
gift,long,gift_ett1_h,toto2.0,common_factor,1,3,-0.008096857188444329,-0.018891249191431703,0.3333333333333333,1.9583006794503264,1.950203822261882,0.23025860760125094
gift,long,gift_ett1_h,toto2.0,common_factor,2,3,-0.007471736185655257,-0.011373561524245623,0.3333333333333333,1.9763316020906079,1.9688598659049525,0.18747305197701233
gift,long,gift_ett1_h,toto2.0,common_factor,3,3,-0.007761438350754046,0.003216391056891199,0.6666666666666666,2.014752075118475,2.006990636767721,0.13582839065760796
gift,long,gift_ett1_h,toto2.0,common_factor,4,3,-0.009694372535346144,0.018690107632718833,0.6666666666666666,2.085190116382824,2.075495743847478,0.09862790480853822
gift,long,gift_ett1_h,toto2.0,common_factor,5,3,-0.013135724774522517,0.028613638325007296,0.6666666666666666,2.1667479694093315,2.1536122446348087,0.08128624869610682
gift,long,gift_ett1_h,toto2.0,cross_series_dependence,1,3,-0.037577213580652837,-0.03874162119538882,0.3333333333333333,1.56140793877739,1.5238307251967373,0.5603074652564711
gift,long,gift_ett1_h,toto2.0,cross_series_dependence,2,3,-0.04169846866133368,-0.036399297375407924,0.3333333333333333,1.695634089054602,1.6539356203932687,0.37634032323153116
gift,long,gift_ett1_h,toto2.0,cross_series_dependence,3,3,-0.041176088476912266,-0.027532846986199067,0.3333333333333333,1.9795780606614402,1.938401972184528,0.22347717146549062
gift,long,gift_ett1_h,toto2.0,cross_series_dependence,4,3,-0.03948215501682043,-0.02372419666645076,0.3333333333333333,2.323129630873897,2.283647475857076,0.1775048427736375
gift,long,gift_ett1_h,toto2.0,cross_series_dependence,5,3,-0.09270796353139114,-0.029332696954671,0.3333333333333333,3.07492512843879,2.9822171649073987,0.18960349220563802
gift,long,gift_ett2_h,Chronos-2,common_factor,1,3,0.09537844465310334,0.03569974771379236,1.0,1.0445773808777414,1.1399558255308448,0.526822547154878
gift,long,gift_ett2_h,Chronos-2,common_factor,2,3,0.12997055637697694,0.059604874440498445,1.0,1.0702139518107725,1.2001845081877496,0.4556888094168054
gift,long,gift_ett2_h,Chronos-2,common_factor,3,3,0.1864396931591024,0.12439565314308976,1.0,1.088069455763841,1.2745091489229436,0.4500798279649653
gift,long,gift_ett2_h,Chronos-2,common_factor,4,3,0.2791616929118915,0.24023817014804316,1.0,1.0838915451067204,1.363053238018612,0.38552126995561525
