metric,model_id,capability_id,capability_level,n,mean,sd,cv,median,min,max,range,seed_p025,seed_p975,mean_ci95_low,mean_ci95_high,desired_count,desired_rate,direction_category,direction_unanimous,mean_approx_task_bootstrap_se,seed_sd_to_task_se_ratio,seed_mean_ci_relation_to_1,task_count_min,task_count_max,task_coverage_min,task_coverage_max,worst_seed,best_seed
capability_effect_nrmse,Timer-3.5,common_factor,4,10,0.28940173788435924,0.034037702132826274,0.11761402119301456,0.2939293575656595,0.24436007344006153,0.3402260318552386,0.09586595841517706,0.24478914064675647,0.33817378442827845,0.26505263260088535,0.31375084316783314,10,1.0,unanimous_desired,True,0.0641208200938602,0.530836974371223,below,4,4,0.4,0.4,2026082703,2026082704
capability_effect_nrmse,Timer-3.5,common_factor,5,10,0.24731027339982048,0.02603258292165642,0.10526284478109883,0.2533150268579326,0.20890357432192608,0.2771866055659785,0.06828303124405244,0.20994384960048765,0.27655641058938085,0.22868768542703058,0.2659328613726104,10,1.0,unanimous_desired,True,0.053710118327262045,0.48468675423570734,below,4,4,0.4,0.4,2026082703,2026082704
capability_effect_nrmse,Timer-3.5,covariate_impulse_response,1,10,0.7661546171370303,0.0632715145636996,0.08258321903760478,0.7641214248133342,0.6755593990575353,0.8869045797051128,0.21134518064757757,0.6825285071640768,0.8739503358895112,0.720892902243809,0.8114163320302515,10,1.0,unanimous_desired,True,0.20876824524806598,0.30307058666186565,below,6,6,0.6,0.6,2026082702,2026082705
capability_effect_nrmse,Timer-3.5,covariate_impulse_response,2,10,0.6018924028851768,0.0553395246445375,0.09194255381737164,0.608577753530303,0.5114761761909503,0.6774350434020944,0.16595886721114406,0.5156561713675557,0.6738970478546374,0.5623048917585743,0.6414799140117792,10,1.0,unanimous_desired,True,0.1373370477591239,0.4029468053048421,below,6,6,0.6,0.6,2026082701,2026082708
capability_effect_nrmse,Timer-3.5,covariate_impulse_response,3,10,0.4790240353283467,0.04488541969240855,0.09370181114532566,0.4804805814202356,0.40102234430898426,0.540628775393983,0.13960643108499876,0.40788497390685796,0.5368665215870544,0.44691494037480267,0.5111331302818908,10,1.0,unanimous_desired,True,0.09400117347215138,0.4774985038426805,below,6,6,0.6,0.6,2026082701,2026082708
capability_effect_nrmse,Timer-3.5,covariate_impulse_response,4,10,0.3741907043951255,0.034973753395956306,0.0934650513365663,0.3760168823829366,0.3163399851284879,0.4300175577567397,0.11367757262825184,0.3193633692878624,0.42664472136700954,0.3491719883762459,0.39920942041400503,10,1.0,unanimous_desired,True,0.0680110163656181,0.5142365937886019,below,6,6,0.6,0.6,2026082701,2026082708
capability_effect_nrmse,Timer-3.5,covariate_impulse_response,5,10,0.29309601550945247,0.032288979304557694,0.11016519364288786,0.30046140459078907,0.2374317359945418,0.33688407743875054,0.09945234144420875,0.2422125239370939,0.3360743845903787,0.26999787117777746,0.3161941598411275,10,1.0,unanimous_desired,True,0.053456126555070094,0.6040276650290746,below,6,6,0.6,0.6,2026082701,2026082708
capability_effect_nrmse,Timer-3.5,cross_series_dependence,1,10,1.004814858105307,0.06527813877621949,0.06496533988292019,1.0203672540037743,0.9020618386169017,1.1189791796254103,0.21691734100850857,0.9080470555349595,1.1043628940868135,0.9581176907240079,1.051512025486606,4,0.4,crosses_threshold,False,0.11834664250087272,0.5515842054897173,includes,8,8,0.8,0.8,2026082704,2026082703
capability_effect_nrmse,Timer-3.5,cross_series_dependence,2,10,0.9766911557573555,0.03378615847623071,0.0345924689468821,0.9737214843944357,0.9311184186802971,1.0320626276518974,0.10094420897160028,0.9336015239566311,1.0280347724345553,0.9525219939657759,1.0008603175489352,7,0.7,crosses_threshold,False,0.12748361405435638,0.26502353833352255,includes,8,8,0.8,0.8,2026082704,2026082706
capability_effect_nrmse,Timer-3.5,cross_series_dependence,3,10,0.9759210511776066,0.06900179878815657,0.07070428361484235,0.9454171346785119,0.906199623145311,1.0865069079333856,0.18030728478807456,0.9083549699774152,1.0820272704103626,0.9265601378913491,1.0252819644638642,7,0.7,crosses_threshold,False,0.1536798446799211,0.44899706224893093,includes,8,8,0.8,0.8,2026082701,2026082703
capability_effect_nrmse,Timer-3.5,cross_series_dependence,4,10,0.9776456794490176,0.07367276804254222,0.07535732995215892,0.9388406427364782,0.9053029540243311,1.098127809577933,0.19282485555360185,0.9085950767266374,1.0918662610543644,0.924943356049143,1.030348002848892,7,0.7,crosses_threshold,False,0.1693210790303922,0.435106889611295,includes,8,8,0.8,0.8,2026082701,2026082703
capability_effect_nrmse,Timer-3.5,cross_series_dependence,5,10,0.9780385992722094,0.0671239764288595,0.0686312140224411,0.9497639835576228,0.9140155450416283,1.0897174462867703,0.17570190124514196,0.9153132043018698,1.08883801006405,0.9300209991788271,1.0260561993655917,7,0.7,crosses_threshold,False,0.1700267239149305,0.39478486018729414,includes,8,8,0.8,0.8,2026082704,2026082706
capability_effect_nrmse,Timer-3.5,multi_seasonal,1,10,0.7013086353531056,0.018019355740210224,0.025693902558518424,0.6973162914442226,0.6817070682069785,0.7479398822416199,0.06623281403464143,0.6829394980140734,0.738800000959476,0.6884183647835301,0.7141989059226811,10,1.0,unanimous_desired,True,0.08407252064524695,0.2143310989359393,below,10,10,1.0,1.0,2026082710,2026082702
capability_effect_nrmse,Timer-3.5,multi_seasonal,2,10,0.799728182485443,0.01871056136038878,0.023396151055023445,0.792906854132902,0.7752121436273325,0.8373797005698063,0.06216755694247378,0.7775400454167881,0.832754230383676,0.7863434532020395,0.8131129117688465,10,1.0,unanimous_desired,True,0.08657905505149681,0.21610955847531282,below,10,10,1.0,1.0,2026082710,2026082701
capability_effect_nrmse,Timer-3.5,multi_seasonal,3,10,0.8626608889186104,0.01943582263794013,0.022530084402347172,0.8570704151686941,0.8368236285755399,0.9014527642361354,0.06462913566059547,0.8379089022933557,0.8973062467252267,0.8487573389716906,0.8765644388655301,10,1.0,unanimous_desired,True,0.08211705186829243,0.23668436939398715,below,10,10,1.0,1.0,2026082710,2026082709
capability_effect_nrmse,Timer-3.5,multi_seasonal,4,10,0.9133274012539241,0.01952990792502283,0.021383249750538368,0.9088873280031269,0.8829865700111202,0.9417740062136184,0.058787436202498156,0.8862046465063036,0.9414977794700254,0.8993565467471412,0.927298255760707,10,1.0,unanimous_desired,True,0.07771879326851149,0.25128938707976,below,10,10,1.0,1.0,2026082708,2026082709
