metric,model_id,capability_id,capability_level,n,mean,std,cv,median,min,max,range,desired_direction_rate,direction_agreement,direction_unanimous,mean_approximate_within_seed_task_se,seed_sd_to_task_se_ratio
capability_effect_nrmse,Chronos-2,cross_series_dependence,1,10,0.8857476751294536,0.04624401310827262,0.05220901438043738,0.879845009818359,0.8123773333283971,0.96332739675073,0.15095006342233286,1.0,1.0,True,0.12061444771751853,0.38340359702659366
capability_effect_nrmse,Chronos-2,cross_series_dependence,2,10,0.9064469185728236,0.031214471833315466,0.03443607253082378,0.8987512356655029,0.8647379462931689,0.9550077199418856,0.09026977364871669,1.0,1.0,True,0.12828709738522526,0.24331731303876564
capability_effect_nrmse,Chronos-2,cross_series_dependence,3,10,0.9347653112505293,0.05999363546298706,0.0641804255473789,0.9112540961776071,0.8705764554518456,1.040336235801548,0.1697597803497024,0.7,0.7,False,0.1455439900788362,0.4122027672217215
capability_effect_nrmse,Chronos-2,cross_series_dependence,4,10,0.9400639089629801,0.057985340882375676,0.06168233917877083,0.9234351398171734,0.8785363416677725,1.0388324890273444,0.16029614735957187,0.8,0.8,False,0.14853170312731154,0.39039033190560324
capability_effect_nrmse,Chronos-2,cross_series_dependence,5,10,0.9481377442843062,0.05564574428295482,0.05868951491321395,0.9228236084495126,0.8824856884247575,1.0470068790526859,0.16452119062792836,0.8,0.8,False,0.15384981074968213,0.361688740543802
capability_effect_nrmse,Chronos-2,multi_seasonal,1,10,0.9091865785109521,0.10433704890328455,0.11475867700793133,0.9297688239791784,0.7163765370200043,1.0565610913536634,0.34018455433365913,0.8,0.8,False,0.2988252513503052,0.3491574036391352
capability_effect_nrmse,Chronos-2,multi_seasonal,2,10,0.8292060239527999,0.10175365838531564,0.12271215529797896,0.8248430093304113,0.6767955568031239,0.9826599952866071,0.3058644384834832,1.0,1.0,True,0.18710614610547077,0.543828519283154
capability_effect_nrmse,Chronos-2,multi_seasonal,3,10,0.8491321829110806,0.07524766001919862,0.08861713350826841,0.8533951582374604,0.7181461142007881,0.9772814393757159,0.25913532517492777,1.0,1.0,True,0.16880700241419525,0.4457614846721011
capability_effect_nrmse,Chronos-2,multi_seasonal,4,10,0.8666321751524315,0.059626688710028464,0.0688027636402269,0.8713543331314759,0.7766630919719382,0.9518171082323731,0.17515401626043492,1.0,1.0,True,0.14772042256515577,0.40364553305910444
capability_effect_nrmse,Chronos-2,multi_seasonal,5,10,0.8892169433956798,0.05920709252703731,0.06658340573329764,0.8915227824124379,0.8052845633395416,0.989430486356013,0.18414592301647148,1.0,1.0,True,0.13220000715527694,0.4478599797464079
capability_effect_nrmse,Chronos-2,predictable_intermittency,1,10,0.7368326890873831,0.07275050813846393,0.09873409420606777,0.7129899075071569,0.6536574042942718,0.8710845693181145,0.21742716502384274,1.0,1.0,True,0.1453887404386218,0.5003861228798301
capability_effect_nrmse,Chronos-2,predictable_intermittency,2,10,0.9967328610359278,0.12851441506648134,0.12893566580408847,0.9994194591605711,0.8374824079887426,1.2489907320627178,0.4115083240739752,0.5,0.5,False,0.1636520481227803,0.785290600030029
capability_effect_nrmse,Chronos-2,predictable_intermittency,3,10,0.9669485162996547,0.09263865363680274,0.09580515619519733,0.9296593379711282,0.8718836628260949,1.1788839975276546,0.30700033470155974,0.8,0.8,False,0.07458500412392587,1.2420546827734975
