suite,benchmark,horizon_group,task_id,model_id,capability_id,capability_level,official_instance_count,treatment_mase,treatment_mae
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,trend,2,865,1.587636443,168.0932043
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,trend,3,865,1.644857262,162.632173
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,trend,4,865,1.653432158,156.5661345
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,trend,5,865,1.65389402,147.4545383
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,covariate_impulse_response,1,2393,1.236864711,318.6823324
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,covariate_impulse_response,2,2393,1.227640466,326.165046
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,covariate_impulse_response,3,2393,1.219823082,336.0455723
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,covariate_impulse_response,4,2393,1.224615876,345.3074307
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,covariate_impulse_response,5,2393,1.230531158,353.3588965
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,cross_series_dependence,1,2336,0.9136478983,308.9156987
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,cross_series_dependence,2,2336,0.9303826058,307.3027844
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,cross_series_dependence,3,2336,0.9607796876,310.8730103
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,cross_series_dependence,4,2336,0.9983501975,315.9114722
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,cross_series_dependence,5,2336,1.048753609,322.0952299
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,multi_seasonal,1,2427,2.53569974,329.8965405
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,multi_seasonal,2,2427,2.555186593,323.6949316
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,multi_seasonal,3,2427,2.578060058,324.5872938
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,multi_seasonal,4,2427,2.616052403,331.1289455
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,multi_seasonal,5,2427,2.635760079,329.9226509
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,predictable_intermittency,1,2427,2.63695166,334.5423613
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,predictable_intermittency,2,2427,2.637494832,339.1235406
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,predictable_intermittency,3,2427,2.644246955,348.1590271
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,predictable_intermittency,4,2427,2.609485255,338.4163554
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,predictable_intermittency,5,2427,2.630924568,344.027279
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,regime_switching,1,2427,2.453215813,319.9744014
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,regime_switching,2,2427,2.412225402,321.9472713
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,regime_switching,3,2427,2.404354704,330.2271745
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,regime_switching,4,2427,2.358381577,323.9525416
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,regime_switching,5,2427,2.308915728,287.8313238
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,time_varying_seasonality,1,2103,0.8325714197,400.0836478
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,time_varying_seasonality,2,2103,0.8440041308,394.0893973
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,time_varying_seasonality,3,2103,0.8530349427,390.1322413
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,time_varying_seasonality,4,2103,0.8646741861,381.0197726
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,time_varying_seasonality,5,2103,0.8753235704,364.7302219
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,trend,1,865,1.874494228,149.1980264
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,trend,2,865,1.86721134,158.0635495
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,trend,3,865,1.860820022,162.8957815
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,trend,4,865,1.831592501,166.8034518
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,toto2.0,trend,5,865,1.781035221,173.4745749
GIFT-Short,GIFT-Eval,short,gift_bitbrains_rnd_h,Chronos-2,covariate_impulse_response,1,967,5.501623047,166.3683651
GIFT-Short,GIFT-Eval,short,gift_bitbrains_rnd_h,Chronos-2,covariate_impulse_response,2,967,5.499100053,170.4254649
GIFT-Short,GIFT-Eval,short,gift_bitbrains_rnd_h,Chronos-2,covariate_impulse_response,3,967,5.494953763,174.880479
