suite,benchmark,horizon_group,task_id,model_id,capability_id,capability_level,effect_nrmse_pooled,effect_scoring_coverage,effect_candidate_count,official_instance_count,effect_unavailable_low_signal_count,effect_unavailable_unobserved_count,effect_correlation_mean,effect_amplitude_ratio_pooled
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,predictable_intermittency,1,0.8805060435,1,2427,2427,0,0,0.6494574439,0.8245503613
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,predictable_intermittency,2,1.072651929,1,2427,2427,0,0,0.4026867218,0.7504815941
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,predictable_intermittency,3,1.177342255,1,2427,2427,0,0,0.1947927947,0.7556675291
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,predictable_intermittency,4,1.179698227,1,2427,2427,0,0,0.1385156624,0.7209524938
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,predictable_intermittency,5,1.259485328,1,2427,2427,0,0,0.05889289191,0.7173321768
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,regime_switching,1,0.1186676033,1,2427,2427,0,0,0.4891106849,1.010415535
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,regime_switching,2,0.1427937901,1,2427,2427,0,0,0.4900134016,1.007535
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,regime_switching,3,0.1439105626,1,2427,2427,0,0,0.4903676757,1.002246909
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,regime_switching,4,0.1213958727,1,2427,2427,0,0,0.4897789607,0.9643847938
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,regime_switching,5,0.1887527607,1,2427,2427,0,0,0.4365415017,0.9429183363
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,time_varying_seasonality,1,1.366654195,0.9904897765,2103,2083,20,0,0.3497432335,1.250213319
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,time_varying_seasonality,2,1.008109426,1,2103,2103,0,0,0.4248371149,1.018136954
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,time_varying_seasonality,3,0.8860931795,1,2103,2103,0,0,0.4966916807,1.017377919
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,time_varying_seasonality,4,0.9418488639,1,2103,2103,0,0,0.5656383742,1.151433661
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,time_varying_seasonality,5,0.9642324403,1,2103,2103,0,0,0.6288039087,1.218087457
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,trend,1,0.2373704295,1,865,865,0,0,-0.3397348869,0.9299988308
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,trend,2,0.2295775693,1,865,865,0,0,-0.2331286947,0.9530497444
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,trend,3,0.2147807201,1,865,865,0,0,-0.1045076717,0.9585151762
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,trend,4,0.2228048155,1,865,865,0,0,0.04672315539,0.9629882199
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,trend,5,0.2292255789,1,865,865,0,0,0.1833172708,0.9727208232
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,covariate_impulse_response,1,1.475981303,1,2393,2393,0,0,0.4115281066,1.790237181
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,covariate_impulse_response,2,0.967145393,1,2393,2393,0,0,0.4652295689,1.396942832
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,covariate_impulse_response,3,0.6690960907,1,2393,2393,0,0,0.5208488564,1.207246502
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,covariate_impulse_response,4,0.470654585,1,2393,2393,0,0,0.5827930094,1.102816735
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,covariate_impulse_response,5,0.3437266657,1,2393,2393,0,0,0.6517420377,1.043698536
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,cross_series_dependence,1,2.549598431,0.8356164384,2336,1952,384,0,0.1534614661,2.743234158
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,cross_series_dependence,2,2.162709517,0.9413527397,2336,2199,137,0,0.1553249887,2.375857804
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,cross_series_dependence,3,1.641224288,0.9794520548,2336,2288,48,0,0.1646791447,1.904098792
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,cross_series_dependence,4,1.453905063,0.991010274,2336,2315,21,0,0.1777862723,1.741700261
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,cross_series_dependence,5,1.250210326,0.9944349315,2336,2323,13,0,0.1888942664,1.567627883
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,multi_seasonal,1,0.6926547648,1,2427,2427,0,0,0.5621278477,1.041586966
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,multi_seasonal,2,0.6752243751,1,2427,2427,0,0,0.4564388006,0.9077085413
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,multi_seasonal,3,0.7677232249,1,2427,2427,0,0,0.3887479327,0.8748311964
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,multi_seasonal,4,0.9974162298,1,2427,2427,0,0,0.3369413629,0.9763280282
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,multi_seasonal,5,0.9132387255,1,2427,2427,0,0,0.2940444495,0.8390083191
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,predictable_intermittency,1,0.8839698591,1,2427,2427,0,0,0.7222230158,0.9406181431
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,predictable_intermittency,2,0.9047631904,1,2427,2427,0,0,0.5045750042,0.6303534529
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,predictable_intermittency,3,1.004563041,1,2427,2427,0,0,0.2916726958,0.5833008228
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,predictable_intermittency,4,0.98456312,1,2427,2427,0,0,0.2091244761,0.6199543244
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,predictable_intermittency,5,1.098113141,1,2427,2427,0,0,0.09768730179,0.6279079409
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,regime_switching,1,0.1533544281,1,2427,2427,0,0,0.4912199235,0.995269689
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,regime_switching,2,0.1300035332,1,2427,2427,0,0,0.4903933149,0.9973261561
