suite,capability_id,left_model_id,right_model_id,paired_task_count,mean_difference_left_minus_right,paired_task_bootstrap_95_ci_lower,paired_task_bootstrap_95_ci_upper,significant_uncorrected,better_model_id
GIFT-Long,trend,Timer-4.0,timesfm2.5,10,0.01299422421,-0.05584623347,0.0602522982,False,
GIFT-Long,trend,Timer-4.0,moirai2,10,-0.07583253728,-0.1328086247,-0.02864186736,True,Timer-4.0
GIFT-Long,trend,Timer-4.0,toto2.0,10,-0.1198861466,-0.2861354713,0.01182835369,False,
GIFT-Long,trend,Timer-3.5,timesfm2.5,10,0.0665669332,0.004433569011,0.1259017596,True,timesfm2.5
GIFT-Long,trend,Timer-3.5,moirai2,10,-0.02225982829,-0.08733259086,0.03212398301,False,
GIFT-Long,trend,Timer-3.5,toto2.0,10,-0.06631343766,-0.230016252,0.07603206796,False,
GIFT-Long,trend,timesfm2.5,moirai2,10,-0.08882676149,-0.1623171092,-0.01101945301,True,timesfm2.5
GIFT-Long,trend,timesfm2.5,toto2.0,10,-0.1328803709,-0.2532253494,-0.03737864101,True,timesfm2.5
GIFT-Long,trend,moirai2,toto2.0,10,-0.04405360937,-0.2208488314,0.1043536003,False,
GIFT-Long,regime_switching,Chronos-2,Timer-4.0,11,-0.07493029919,-0.1047328898,-0.04550020022,True,Chronos-2
GIFT-Long,regime_switching,Chronos-2,Timer-3.5,11,-0.1100716061,-0.1515407713,-0.07048605236,True,Chronos-2
GIFT-Long,regime_switching,Chronos-2,timesfm2.5,11,-0.04110937948,-0.06077595064,-0.02611432982,True,Chronos-2
GIFT-Long,regime_switching,Chronos-2,moirai2,11,-0.2617825564,-0.3849489539,-0.1594941811,True,Chronos-2
GIFT-Long,regime_switching,Chronos-2,toto2.0,11,-0.2004396869,-0.2803982006,-0.1264755197,True,Chronos-2
GIFT-Long,regime_switching,Timer-4.0,Timer-3.5,11,-0.03514130688,-0.06745010185,-0.007768087553,True,Timer-4.0
GIFT-Long,regime_switching,Timer-4.0,timesfm2.5,11,0.03382091971,0.01272496512,0.05589836337,True,timesfm2.5
GIFT-Long,regime_switching,Timer-4.0,moirai2,11,-0.1868522572,-0.3240147597,-0.07095536302,True,Timer-4.0
GIFT-Long,regime_switching,Timer-4.0,toto2.0,11,-0.1255093877,-0.2250245573,-0.02954338978,True,Timer-4.0
GIFT-Long,regime_switching,Timer-3.5,timesfm2.5,11,0.0689622266,0.03569594375,0.1070420685,True,timesfm2.5
GIFT-Long,regime_switching,Timer-3.5,moirai2,11,-0.1517109503,-0.2932467892,-0.03672373201,True,Timer-3.5
GIFT-Long,regime_switching,Timer-3.5,toto2.0,11,-0.0903680808,-0.1975258506,0.01531736792,False,
GIFT-Long,regime_switching,timesfm2.5,moirai2,11,-0.2206731769,-0.3473142467,-0.1153005626,True,timesfm2.5
GIFT-Long,regime_switching,timesfm2.5,toto2.0,11,-0.1593303074,-0.2440411628,-0.07341728568,True,timesfm2.5
GIFT-Long,regime_switching,moirai2,toto2.0,11,0.06134286954,-0.07804643191,0.2089387866,False,
GIFT-Long,common_factor,Chronos-2,Timer-4.0,4,-0.3744131894,-0.6280520406,-0.1483794917,True,Chronos-2
GIFT-Long,common_factor,Chronos-2,Timer-3.5,4,-0.3534641305,-0.5636061696,-0.1886512471,True,Chronos-2
GIFT-Long,common_factor,Chronos-2,timesfm2.5,4,-0.3866149515,-0.6277498058,-0.1454800972,True,Chronos-2
GIFT-Long,common_factor,Chronos-2,moirai2,4,-0.699041517,-1.283799298,-0.3780925478,True,Chronos-2
GIFT-Long,common_factor,Chronos-2,toto2.0,4,-0.2778859619,-0.509876,-0.08155623049,True,Chronos-2
GIFT-Long,common_factor,Timer-4.0,Timer-3.5,4,0.02094905886,-0.1006969878,0.1426632343,False,
GIFT-Long,common_factor,Timer-4.0,timesfm2.5,4,-0.01220176214,-0.2322044255,0.1776601115,False,
GIFT-Long,common_factor,Timer-4.0,moirai2,4,-0.3246283276,-0.6746021966,-0.04489052879,True,Timer-4.0
GIFT-Long,common_factor,Timer-4.0,toto2.0,4,0.09652722746,0.0599608724,0.1184688462,True,toto2.0
GIFT-Long,common_factor,Timer-3.5,timesfm2.5,4,-0.033150821,-0.1834283877,0.04891091875,False,
GIFT-Long,common_factor,Timer-3.5,moirai2,4,-0.3455773865,-0.7201931286,-0.1270977303,True,Timer-3.5
GIFT-Long,common_factor,Timer-3.5,toto2.0,4,0.0755781686,-0.0442745439,0.1805509256,False,
GIFT-Long,common_factor,timesfm2.5,moirai2,4,-0.3124265655,-0.7569448313,0.05227758543,False,
GIFT-Long,common_factor,timesfm2.5,toto2.0,4,0.1087289896,-0.08170592505,0.3509660773,False,
GIFT-Long,common_factor,moirai2,toto2.0,4,0.4211555551,0.1364422328,0.7927782372,True,toto2.0
GIFT-Long,covariate_impulse_response,Chronos-2,Timer-4.0,3,-0.1735161359,-0.4327681411,-0.006403699561,True,Chronos-2
GIFT-Long,covariate_impulse_response,Chronos-2,Timer-3.5,3,-0.1962062912,-0.4437322126,-0.0325706393,True,Chronos-2
GIFT-Long,covariate_impulse_response,Chronos-2,timesfm2.5,3,0.062318694,-0.01531437931,0.1413843665,False,
GIFT-Long,covariate_impulse_response,Chronos-2,moirai2,3,-0.0928981036,-0.312980453,0.03038601456,False,
GIFT-Long,covariate_impulse_response,Chronos-2,toto2.0,3,-0.460035847,-1.634384736,0.1786221786,False,
GIFT-Long,covariate_impulse_response,Timer-4.0,Timer-3.5,3,-0.02269015525,-0.105912322,0.04880592775,False,
GIFT-Long,covariate_impulse_response,Timer-4.0,timesfm2.5,3,0.2358348299,-0.008910679746,0.5741525076,False,
GIFT-Long,covariate_impulse_response,Timer-4.0,moirai2,3,0.08061803231,0.01030382723,0.1197876881,True,moirai2
GIFT-Long,covariate_impulse_response,Timer-4.0,toto2.0,3,-0.2865197111,-1.201616594,0.1850258782,False,
GIFT-Long,covariate_impulse_response,Timer-3.5,timesfm2.5,3,0.2585249851,0.09345673407,0.5851165791,True,timesfm2.5
GIFT-Long,covariate_impulse_response,Timer-3.5,moirai2,3,0.1033081876,0.06295665385,0.1307517596,True,moirai2
GIFT-Long,covariate_impulse_response,Timer-3.5,toto2.0,3,-0.2638295559,-1.190652523,0.2909382002,False,
GIFT-Long,covariate_impulse_response,timesfm2.5,moirai2,3,-0.1552167976,-0.4543648196,0.01921450697,False,
GIFT-Long,covariate_impulse_response,timesfm2.5,toto2.0,3,-0.522354541,-1.775769102,0.1939365579,False,
GIFT-Long,covariate_impulse_response,moirai2,toto2.0,3,-0.3671377434,-1.321404282,0.1747220509,False,
GIFT-Long,time_varying_seasonality,Chronos-2,Timer-4.0,10,-0.2640199081,-0.4478131863,-0.07717748413,True,Chronos-2
