suite,benchmark,horizon_group,model_id,capability_id,level_averaged_effect_nrmse,task_bootstrap_95_ci_lower,task_bootstrap_95_ci_upper,task_count,suite_task_count,task_coverage,bootstrap_repetitions,derived_display_metric,capability_rank
GIFT-Short,GIFT-Eval,short,Timer-4.0,predictable_intermittency,0.9275385313,0.8360302644,1.038911998,20,20,1,20000,True,4
GIFT-Short,GIFT-Eval,short,toto2.0,predictable_intermittency,0.9554846889,0.8291909081,1.151006544,20,20,1,20000,True,5
GIFT-Short,GIFT-Eval,short,moirai2,predictable_intermittency,0.9653250416,0.9014165386,1.037982399,20,20,1,20000,True,6
GIFT-Short,GIFT-Eval,short,tirex2,predictable_intermittency,0.9724890379,0.7972722094,1.279466578,20,20,1,20000,True,7
GIFT-Short,GIFT-Eval,short,tirex2,regime_switching,0.07083173108,0.03489604811,0.1151081897,20,20,1,20000,True,1
GIFT-Short,GIFT-Eval,short,timesfm2.5,regime_switching,0.0909547536,0.06135502623,0.1234661537,20,20,1,20000,True,2
GIFT-Short,GIFT-Eval,short,Chronos-2,regime_switching,0.09638508679,0.04983677636,0.1598080153,20,20,1,20000,True,3
GIFT-Short,GIFT-Eval,short,Timer-4.0,regime_switching,0.1185463442,0.07091501697,0.175627666,20,20,1,20000,True,4
GIFT-Short,GIFT-Eval,short,Timer-3.5,regime_switching,0.1329371331,0.0932887113,0.1750834189,20,20,1,20000,True,5
GIFT-Short,GIFT-Eval,short,moirai2,regime_switching,0.134159986,0.0859738262,0.2015798493,20,20,1,20000,True,6
GIFT-Short,GIFT-Eval,short,toto2.0,regime_switching,0.144387832,0.04951066779,0.2743984966,20,20,1,20000,True,7
