suite,benchmark,horizon_group,model_id,capability_id,capability_level,treatment_mase_task_equal,treatment_mae_task_equal,task_count
FEV-Mini20,FEV-Bench,native,timesfm2.5,regime_switching,2,1.514907172,27516.82296,20
FEV-Mini20,FEV-Bench,native,tirex2,regime_switching,2,1.828092037,28701.16654,20
FEV-Mini20,FEV-Bench,native,toto2.0,regime_switching,2,1.599214696,27395.90041,20
FEV-Mini20,FEV-Bench,native,Chronos-2,regime_switching,3,1.847772076,35374.62305,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,regime_switching,3,1.873276097,34129.96755,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,regime_switching,3,1.674030661,30018.09091,20
FEV-Mini20,FEV-Bench,native,moirai2,regime_switching,3,1.603401052,32710.77243,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,regime_switching,3,1.528093715,26404.68505,20
FEV-Mini20,FEV-Bench,native,tirex2,regime_switching,3,1.834461911,28833.09409,20
FEV-Mini20,FEV-Bench,native,toto2.0,regime_switching,3,1.593094109,27218.65695,20
FEV-Mini20,FEV-Bench,native,Chronos-2,regime_switching,4,1.843508687,35872.12164,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,regime_switching,4,1.900725219,36675.57288,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,regime_switching,4,1.708690212,35223.26402,20
FEV-Mini20,FEV-Bench,native,moirai2,regime_switching,4,1.641521152,33037.37868,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,regime_switching,4,1.553258178,29112.66686,20
FEV-Mini20,FEV-Bench,native,tirex2,regime_switching,4,1.866857457,26169.78358,20
FEV-Mini20,FEV-Bench,native,toto2.0,regime_switching,4,1.584621647,26102.00787,20
FEV-Mini20,FEV-Bench,native,Chronos-2,regime_switching,5,2.025220227,40740.79279,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,regime_switching,5,2.16034872,36119.93171,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,regime_switching,5,1.850296235,33859.62121,20
FEV-Mini20,FEV-Bench,native,moirai2,regime_switching,5,1.786834422,34912.28561,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,regime_switching,5,1.719417712,28361.54118,20
FEV-Mini20,FEV-Bench,native,tirex2,regime_switching,5,1.913605739,25415.37439,20
