suite,benchmark,horizon_group,model_id,capability_id,capability_level,task_equal_effect_nrmse,task_equal_effect_correlation,task_equal_effect_amplitude_ratio,task_equal_scoring_coverage,task_count
FEV-Mini20,FEV-Bench,native,Timer-4.0,regime_switching,2,0.160273166,0.9612465689,1.020479869,0.9975784753,20
FEV-Mini20,FEV-Bench,native,moirai2,regime_switching,2,0.07390027183,0.9624197186,1.008617161,0.9975784753,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,regime_switching,2,0.09503255258,0.9609101266,1.003047881,0.9975784753,20
FEV-Mini20,FEV-Bench,native,tirex2,regime_switching,2,0.105849633,0.9882260341,1.020400089,0.9975784753,20
FEV-Mini20,FEV-Bench,native,toto2.0,regime_switching,2,0.08282043063,0.9822750949,1.004403598,0.9975784753,20
FEV-Mini20,FEV-Bench,native,Chronos-2,regime_switching,3,0.1844210707,0.9817992798,1.052942935,0.9975784753,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,regime_switching,3,0.1396055478,0.9260103327,0.9674413939,0.9975784753,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,regime_switching,3,0.1617413419,0.9508838821,1.018907138,0.9975784753,20
FEV-Mini20,FEV-Bench,native,moirai2,regime_switching,3,0.0849187943,0.9584504239,1.004079843,0.9975784753,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,regime_switching,3,0.1105922779,0.9604944037,0.990625943,0.9975784753,20
FEV-Mini20,FEV-Bench,native,tirex2,regime_switching,3,0.1228253152,0.9876988411,1.032927163,0.9975784753,20
FEV-Mini20,FEV-Bench,native,toto2.0,regime_switching,3,0.09584347573,0.9677474354,0.9993387015,0.9975784753,20
FEV-Mini20,FEV-Bench,native,Chronos-2,regime_switching,4,0.2108447502,0.9681214225,1.057315762,0.9975784753,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,regime_switching,4,0.1966481858,0.9106213698,0.9311682169,0.9975784753,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,regime_switching,4,0.1698753446,0.9394625329,1.00783524,0.9975784753,20
FEV-Mini20,FEV-Bench,native,moirai2,regime_switching,4,0.1143650004,0.9515348979,0.9894998898,0.9975784753,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,regime_switching,4,0.1291158489,0.9403455335,0.9711076687,0.9975784753,20
FEV-Mini20,FEV-Bench,native,tirex2,regime_switching,4,0.1490398673,0.9834443489,1.03065149,0.9975784753,20
FEV-Mini20,FEV-Bench,native,toto2.0,regime_switching,4,0.1254911896,0.9558659063,0.982639657,0.9975784753,20
FEV-Mini20,FEV-Bench,native,Chronos-2,regime_switching,5,0.2910543948,0.6340829034,1.031914109,0.9975784753,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,regime_switching,5,0.2739390381,0.5109672571,0.8789333102,0.9975784753,20
