suite,benchmark,horizon_group,model_id,capability_id,capability_level,effect_nrmse_task_equal,effect_nrmse_ci_lower,effect_nrmse_ci_upper,task_count,suite_task_count,task_coverage,cell_rank,cell_winner
FEV-Mini20,FEV-Bench,native,moirai2,regime_switching,3,0.0849187943,0.05503040878,0.1163586808,20,20,1,1,True
FEV-Mini20,FEV-Bench,native,toto2.0,regime_switching,3,0.09584347573,0.06096574126,0.1336838461,20,20,1,2,False
FEV-Mini20,FEV-Bench,native,timesfm2.5,regime_switching,3,0.1105922779,0.0699357581,0.1510946216,20,20,1,3,False
FEV-Mini20,FEV-Bench,native,tirex2,regime_switching,3,0.1228253152,0.04829804781,0.223906999,20,20,1,4,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,regime_switching,3,0.1396055478,0.09321474199,0.1935040119,20,20,1,5,False
FEV-Mini20,FEV-Bench,native,Chronos-2,regime_switching,3,0.1844210707,0.05759100973,0.4003504904,20,20,1,6,False
FEV-Mini20,FEV-Bench,native,moirai2,regime_switching,4,0.1143650004,0.07814021034,0.1541743297,20,20,1,1,True
FEV-Mini20,FEV-Bench,native,toto2.0,regime_switching,4,0.1254911896,0.08214484668,0.1735425274,20,20,1,2,False
FEV-Mini20,FEV-Bench,native,timesfm2.5,regime_switching,4,0.1291158489,0.08816164025,0.1739090571,20,20,1,3,False
FEV-Mini20,FEV-Bench,native,tirex2,regime_switching,4,0.1490398673,0.05770923982,0.282465409,20,20,1,4,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,regime_switching,4,0.1966481858,0.1306668858,0.2759275387,20,20,1,5,False
FEV-Mini20,FEV-Bench,native,Chronos-2,regime_switching,4,0.2108447502,0.07299254623,0.4285305791,20,20,1,6,False
FEV-Mini20,FEV-Bench,native,moirai2,regime_switching,5,0.1807642404,0.1112955257,0.2635785397,20,20,1,1,True
FEV-Mini20,FEV-Bench,native,timesfm2.5,regime_switching,5,0.1876867771,0.1251836122,0.2659981056,20,20,1,2,False
FEV-Mini20,FEV-Bench,native,toto2.0,regime_switching,5,0.1885113332,0.1225713187,0.2728866583,20,20,1,3,False
FEV-Mini20,FEV-Bench,native,tirex2,regime_switching,5,0.2115999135,0.09974939939,0.3411597897,20,20,1,4,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,regime_switching,5,0.2739390381,0.1843168103,0.3824887494,20,20,1,5,False
FEV-Mini20,FEV-Bench,native,Chronos-2,regime_switching,5,0.2910543948,0.1480117159,0.5022842931,20,20,1,6,False
FEV-Mini20,FEV-Bench,native,timesfm2.5,time_varying_seasonality,1,0.8956822314,0.6400467495,1.171449944,20,20,1,1,True
FEV-Mini20,FEV-Bench,native,moirai2,time_varying_seasonality,1,0.9106127158,0.6804687181,1.152216027,20,20,1,2,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,time_varying_seasonality,1,0.9342698959,0.682490547,1.241446635,20,20,1,3,False
