suite,benchmark,horizon_group,model_id,capability_id,level_averaged_treatment_mase,task_count,level_averaged_effect_nrmse,capability_rank,treatment_mase_rank,same_winner
GIFT-Short,GIFT-Eval,short,toto2.0,multi_seasonal,1.934139197,20,0.6367942715,1,1,True
GIFT-Short,GIFT-Eval,short,Chronos-2,multi_seasonal,2.369753248,20,0.7794513562,2,2,False
GIFT-Short,GIFT-Eval,short,timesfm2.5,multi_seasonal,2.499255091,20,0.8016590865,3,3,False
GIFT-Short,GIFT-Eval,short,tirex2,multi_seasonal,2.531765501,20,0.8441032903,4,4,False
GIFT-Short,GIFT-Eval,short,Timer-3.5,multi_seasonal,2.758286069,20,0.9456936794,5,5,False
GIFT-Short,GIFT-Eval,short,moirai2,multi_seasonal,4.17133305,20,1.010156064,6,6,False
GIFT-Short,GIFT-Eval,short,timesfm2.5,predictable_intermittency,2.83264176,20,0.8373530645,1,3,False
GIFT-Short,GIFT-Eval,short,Chronos-2,predictable_intermittency,2.928915344,20,0.9051413851,2,5,False
GIFT-Short,GIFT-Eval,short,Timer-3.5,predictable_intermittency,2.871623733,20,0.9144081965,3,4,False
GIFT-Short,GIFT-Eval,short,toto2.0,predictable_intermittency,2.698655701,20,0.9554846889,4,1,False
GIFT-Short,GIFT-Eval,short,moirai2,predictable_intermittency,4.211316795,20,0.9653250416,5,6,False
GIFT-Short,GIFT-Eval,short,tirex2,predictable_intermittency,2.745443272,20,0.9724890379,6,2,False
GIFT-Short,GIFT-Eval,short,tirex2,regime_switching,1.597450255,20,0.07083173108,1,2,False
GIFT-Short,GIFT-Eval,short,timesfm2.5,regime_switching,1.626796347,20,0.0909547536,2,3,False
GIFT-Short,GIFT-Eval,short,Chronos-2,regime_switching,1.702840248,20,0.09638508679,3,4,False
GIFT-Short,GIFT-Eval,short,Timer-3.5,regime_switching,1.716893286,20,0.1329371331,4,5,False
GIFT-Short,GIFT-Eval,short,moirai2,regime_switching,1.909881376,20,0.134159986,5,6,False
GIFT-Short,GIFT-Eval,short,toto2.0,regime_switching,1.573636385,20,0.144387832,6,1,False
GIFT-Short,GIFT-Eval,short,Chronos-2,time_varying_seasonality,1.525698859,19,0.5294781747,1,3,False
GIFT-Short,GIFT-Eval,short,toto2.0,time_varying_seasonality,1.571973902,19,0.5711975157,2,4,False
GIFT-Short,GIFT-Eval,short,tirex2,time_varying_seasonality,1.483676896,19,0.5802932687,3,2,False
GIFT-Short,GIFT-Eval,short,Timer-3.5,time_varying_seasonality,1.738315667,19,0.6743320698,4,5,False
GIFT-Short,GIFT-Eval,short,timesfm2.5,time_varying_seasonality,1.462328602,19,0.6794172013,5,1,False
GIFT-Short,GIFT-Eval,short,moirai2,time_varying_seasonality,1.853184103,19,0.7404839685,6,6,False
GIFT-Short,GIFT-Eval,short,Chronos-2,trend,2.132120238,18,0.08208250936,1,5,False
GIFT-Short,GIFT-Eval,short,moirai2,trend,2.151877287,18,0.2149589024,2,6,False
GIFT-Short,GIFT-Eval,short,timesfm2.5,trend,1.898061419,18,0.2155851914,3,3,False
GIFT-Short,GIFT-Eval,short,Timer-3.5,trend,1.966418156,18,0.2430601202,4,4,False
GIFT-Short,GIFT-Eval,short,toto2.0,trend,1.87640201,18,0.2431896043,5,2,False
GIFT-Short,GIFT-Eval,short,tirex2,trend,1.843011864,18,0.2562364899,6,1,False
